name,dept,area,count,adjustedcount,year
John D. Lafferty,Yale University,icml,2.0,0.75,2018
John D. Lafferty,Yale University,icml,1.0,0.5,2025
John D. Lafferty,Yale University,iros,1.0,0.33333,2007
John D. Lafferty,Yale University,kdd,1.0,0.25,2007
John D. Lafferty,Yale University,nips,1.0,0.5,2001
John D. Lafferty,Yale University,nips,2.0,1.0,2002
John D. Lafferty,Yale University,nips,1.0,0.25,2004
John D. Lafferty,Yale University,nips,3.0,1.5,2005
John D. Lafferty,Yale University,nips,1.0,0.33333,2006
John D. Lafferty,Yale University,nips,3.0,1.0833,2007
John D. Lafferty,Yale University,nips,1.0,0.33333,2008
John D. Lafferty,Yale University,nips,1.0,0.25,2010
John D. Lafferty,Yale University,nips,2.0,0.58333,2012
John D. Lafferty,Yale University,nips,2.0,1.0,2014
John D. Lafferty,Yale University,nips,1.0,0.5,2015
John D. Lafferty,Yale University,nips,2.0,0.5,2016
John D. Lafferty,Yale University,nips,1.0,0.33333,2019
John D. Lafferty,Yale University,nips,1.0,0.33333,2021
John D. Lafferty,Yale University,sigir,1.0,0.5,1999
John D. Lafferty,Yale University,sigir,2.0,1.0,2001
John D. Lafferty,Yale University,sigir,1.0,0.5,2002
John D. Lafferty,Yale University,sigir,1.0,0.33333,2003
John D. Lafferty,Yale University,sigir,1.0,0.25,2009
John D. Lafferty,Yale University,stoc,1.0,0.5,1997
Julie Dorsey,Yale University,chiconf,1.0,0.25,2021
Julie Dorsey,Yale University,chiconf,1.0,0.25,2023
Julie Dorsey,Yale University,cvpr,1.0,0.16667,2025
Julie Dorsey,Yale University,eurographics,1.0,0.25,1999
Julie Dorsey,Yale University,eurographics,2.0,0.66667,2009
Julie Dorsey,Yale University,eurographics,1.0,0.25,2010
Julie Dorsey,Yale University,eurographics,2.0,0.66667,2011
Julie Dorsey,Yale University,eurographics,1.0,0.25,2013
Julie Dorsey,Yale University,eurographics,1.0,0.25,2016
Julie Dorsey,Yale University,iros,1.0,0.1,2024
Julie Dorsey,Yale University,siggraph,1.0,0.33333,1991
Julie Dorsey,Yale University,siggraph,2.0,0.83333,1996
Julie Dorsey,Yale University,siggraph,1.0,0.2,1999
Julie Dorsey,Yale University,siggraph,1.0,0.25,2000
Julie Dorsey,Yale University,siggraph,3.0,0.75,2001
Julie Dorsey,Yale University,siggraph,2.0,0.7,2002
Julie Dorsey,Yale University,siggraph,1.0,0.25,2003
Julie Dorsey,Yale University,siggraph,1.0,0.33333,2004
Julie Dorsey,Yale University,siggraph,1.0,0.16667,2005
Julie Dorsey,Yale University,siggraph,2.0,0.39286,2012
Julie Dorsey,Yale University,siggraph,2.0,0.36667,2016
Julie Dorsey,Yale University,siggraph,1.0,0.16667,2021
Julie Dorsey,Yale University,siggraph-asia,2.0,0.5,2011
Julie Dorsey,Yale University,siggraph-asia,1.0,0.33333,2013
Julie Dorsey,Yale University,siggraph-asia,1.0,0.33333,2019
Julie Dorsey,Yale University,uist,1.0,0.25,2014
Jun Xiao 0001,Zhejiang University,aaai,1.0,0.2,2015
Jun Xiao 0001,Zhejiang University,aaai,1.0,0.14286,2020
Jun Xiao 0001,Zhejiang University,aaai,3.0,0.50952,2021
Jun Xiao 0001,Zhejiang University,aaai,2.0,0.30952,2024
Jun Xiao 0001,Zhejiang University,cvpr,1.0,0.25,2008
Jun Xiao 0001,Zhejiang University,cvpr,1.0,0.14286,2017
Jun Xiao 0001,Zhejiang University,cvpr,1.0,0.2,2018
Jun Xiao 0001,Zhejiang University,cvpr,1.0,0.16667,2019
Jun Xiao 0001,Zhejiang University,cvpr,1.0,0.16667,2020
Jun Xiao 0001,Zhejiang University,cvpr,1.0,0.25,2021
Jun Xiao 0001,Zhejiang University,cvpr,2.0,0.36667,2022
Jun Xiao 0001,Zhejiang University,cvpr,1.0,0.14286,2023
Jun Xiao 0001,Zhejiang University,cvpr,1.0,0.125,2024
Jun Xiao 0001,Zhejiang University,cvpr,3.0,0.47778,2025
Jun Xiao 0001,Zhejiang University,eccv,2.0,0.47619,2022
Jun Xiao 0001,Zhejiang University,eccv,1.0,0.2,2024
Jun Xiao 0001,Zhejiang University,emnlp,2.0,0.36667,2019
Jun Xiao 0001,Zhejiang University,emnlp,1.0,0.11111,2020
Jun Xiao 0001,Zhejiang University,emnlp,1.0,0.2,2021
Jun Xiao 0001,Zhejiang University,emnlp,1.0,0.14286,2022
Jun Xiao 0001,Zhejiang University,iccv,1.0,0.16667,2019
